"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jul 2017",196.818499326661,152.775629291794,240.861369361529,129.460742241455,264.176256411867
"Aug 2017",197.500512511294,153.018390300528,241.98263472206,129.470977194109,265.530047828479
"Sep 2017",198.16859793641,153.25148847895,243.08570739387,129.473807033593,266.863388839228
"Oct 2017",198.823040028308,153.475086136576,244.17099392004,129.469329424703,268.176750631913
"Nov 2017",199.464117404862,153.689345506965,245.23888930276,129.457644990863,269.470589818862
"Dec 2017",200.092102994141,153.894428496298,246.289777491985,129.43885686682,270.745349121463
"Jan 2018",200.707264150603,154.090496459697,247.324031841508,129.413070295034,272.001458006172
"Feb 2018",201.309862768914,154.277710002362,248.342015535466,129.380392261299,273.239333276528
"Mar 2018",201.90015539545,154.456228802977,249.344081987923,129.340931165644,274.459379625256
"Apr 2018",202.478393337513,154.626211457107,250.33057521792,129.294796525004,275.661990150023
"May 2018",203.044822770326,154.787815338564,251.301830202087,129.242098704563,276.847546836088
"Jun 2018",203.59968484183,154.941196476936,252.258173206725,129.182948674973,278.016421008688
"Jul 2018",204.143215775359,155.086509449686,253.199922101032,129.117457792988,279.16897375773
"Aug 2018",204.675646970199,155.223907287387,254.127386653011,129.045737603288,280.30555633711
"Sep 2018",205.197205100107,155.3535413908,255.040868809414,128.967899659515,281.426510540699
"Oct 2018",205.708112209814,155.475561458657,255.94066296097,128.884055362746,282.532169056881
"Nov 2018",206.208585809554,155.590115425123,256.827056193985,128.794315815797,283.622855803311
"Dec 2018",206.698838967669,155.697349405986,257.700328529351,128.698791691916,284.698886243421
"Jan 2019",207.179080401315,155.797407652774,258.560753149856,128.59759311659,285.760567686041
"Feb 2019",207.649514565325,155.890432514022,259.408596616627,128.490829561263,286.808199569386
"Mar 2019",208.110341739246,155.97656440302,260.244119075472,128.378609747946,287.842073730546
"Apr 2019",208.561758112612,156.055941771436,261.067574453788,128.261041563725,288.862474661499
"May 2019",209.003955868462,156.128701088244,261.87921064868,128.138231984331,289.869679752594
"Jun 2019",209.437123265162,156.194976823471,262.679269706853,128.010287005962,290.863959524363
"Jul 2019",209.861444716553,156.254901436298,263.467987996808,127.877311584666,291.84557784844
"Aug 2019",210.27710087046,156.30860536711,264.245596373811,127.739409582612,292.814792158309
